1-gram,Type
style,CodeAnalysis
format,CodeAnalysis
fmt,CodeAnalysis
lint,CodeAnalysis
build,Build
compile,Build
make,Build
test,Test
phpspec,Test
rspec,Test
unit,Test
coverage,CodeAnalysis
deploy,Deploy
publish,Deploy
ship,Deploy
analysis,CodeAnalysis
analyze,CodeAnalysis
sonar,CodeAnalysis
shellcheck,CodeAnalysis
climate,CodeAnalysis
quality,CodeAnalysis
install,Build
npm,Build
setup,Build
pip,Build
conda,Build
pytest,Test
wget,Build
coveralls,CodeAnalysis
make,Build
codecov,CodeAnalysis
flake8,CodeAnalysis
pip3,Build
py.test,Test
poetry,Deploy
poetry,Build
tox,Test
bandit,CodeAnalysis
pylint,CodeAnalysis
catkin,Build
test.sh,Test
codecovv,CodeAnalysis
travis-sphinx,Build
travis-sphinx,Deploy
python-codacy-coverage,CodeAnalysis
pycodestyle,CodeAnalysis
build_wheel,Build
deploy.sh,Deploy
pyflakes,CodeAnalysis
test_examples.sh,Test
bazel,Build
rake,Build
code_cov,CodeAnalysis
codeclimate-test-reporter,CodeAnalysis
gcc,Build
