Regex,Failure Type,Notes
^(FAIL): (.+),Test Fail,From Travis Listener
(FAIL): (.+)( \\((.+)\\))?,Test Fail,From Travis Listener
(.+):([0-9]+): error: (.+),Test Error,From Travis Listener
(ERROR): (.+)( \\((.+)\\))?,Test Error,From Travis Listener
"FAILED \\(SKIP=([0-9]+), errors=([1-9]+), failures=([0-9]+)\\)",Test Error,From Travis Listener
"FAILED \\(SKIP=([0-9]+), errors=([0-9]+), failures=([1-9]+)\\)",Test Fail ,From Travis Listener
SUMMARY +([0-9]+)\/([0-9]+) tasks and ([0-9]+)\/([0-9]+) tests failed,Test Fail,From Travis Listener
"== ([0-9]+) failed, ([0-9]+) passed, ([0-9]+) skipped, ([0-9]+) pytest-warnings in ([0-9\.]+) seconds ===",Test Fail,From Travis Listener
"(?<failed>[0-9]+) failed, (?<passed>[0-9]+) passed(, (?<skipped>[0-9]+) skipped)?(, (?<warning>[0-9]+) warnings) in (?<time>[0-9\.]+)s",Test Fail,From Travis Listener
ModuleNotFoundError: No module named '(?<library>[^']+)' ,Build Fail,From Travis Listener
pyflakes verktyg  ;  (.+):([0-9]+): (.+) ,Code Analysis Error,From Travis Listener
SyntaxError: invalid syntax,Build Fail,From Travis Listener
