2-gram,Type
pip install,Build
install -r,Build
-r FILE_PATH_TXT,Build
wget URL,Build
install upgrade,Build
provider pypi,Deploy
FILE_PATH_PY install,Build
install -e,Build
conda install,Build
install coveralls,CodeAnalysis
install -u,Build
pytest URL,Test
activate test-environment,Test
install pip,Build
install codecov,Build
-n test-environment,Test
install flake8,Build
coverage run,CodeAnalysis
distributions sdist,Deploy
FILE_PATH_PY test,Test
install pytest,Build
pytest cov,Test
install -y,Build
-m unittest,Test
-m pytest,Test
pip setuptools,Build
install pytest-cov,Build
script tox,Test
install URL,Build
pip3 install,Build
docker build,Deploy
unittest discover,Test
run source,Build
install -q,Build
provider pages,Deploy
install numpy,Build
nosetests with-coverage,"Test, CodeAnalysis"
install yes,Build
install coverage,Build
install tox,Build
coverage true,CodeAnalysis
install source,Build
build -t,Build
flake8 count,CodeAnalysis
env toxenv,Test
install python,Build
with-coverage cover-package,CodeAnalysis
activate testenv,Test
stage test,Test
install tensorflow,Build
install -c,Build
setuptools wheel,Build
make test,Test
install tox-travis,Build
install cython,Build
pytest pytest-cov,Test
install -qq,Test
flake8 max-line-length,Build
-n testenv,Test
script pytest,Test
stage deploy,Deploy
nosetests -v,Test
install scipy,Build
coverage report,CodeAnalysis
install torch,Build
pytest -v,Test
pytest-cov codecov,CodeAnalysis
py.test cov,CodeAnalysis
cov-config coveragerc,CodeAnalysis
script flake8,CodeAnalysis
provider script,Deploy
install nose,Build
pytest tests,Test
scipy nose,Test
make html,Build
install only-binary,Build
install skip,Build
3.5 coverage,CodeAnalysis
script py.test,Test
-e test,Test
flake8 URL,CodeAnalysis
choco install,Build
install quiet,Build
codecov coverage,CodeAnalysis
script nosetests,Test
-r requirements.txt,Build
-u tox-travis,Test
after_success coveralls,CodeAnalysis
install matplotlib,Build
install progress-bar,Build
FILE_PATH_TXT upgrade,Build
pytest -m,Test
install scikit-learn,Build
then wget,Build
else wget,Build
pipenv install,Build
install dev,Build
install pipenv,Build
install poetry,Build
poetry install,Build
pip wheel,Build
pytest -s,Test
FILE_PATH_PY sdist,Deploy
py.test URL,Test
coverage combine,CodeAnalysis
coveralls_parallel true,CodeAnalysis
password pypi_password,Deploy
install python-coveralls,Build
codecov fi,CodeAnalysis
name deploy,Deploy
npm install,Build
wget -q,Build
codecov pytest-cov,CodeAnalysis
