3-gram,Type
pip install -r,Build
install -r FILE_PATH_TXT,Build
pip install upgrade,Build
wget URL -o,Build
python FILE_PATH_PY install,Build
pip install -e,Build
install upgrade pip,Build
conda update -q,Build
update -q conda,Build
pip install coveralls,Build
pip install -u,Build
source activate test-environment,Test
pip install codecov,Build
install pip install,Build
-q -n test-environment,Test
-n test-environment python,Test
pip install flake8,Build
test-environment python travis_python_version,Test
distributions sdist bdist_wheel,Build
pip install pytest,Build
install -u pip,Build
python FILE_PATH_PY test,Test
pip install pytest-cov,Build
-m pip install,Build
python -m pytest,Test
-m unittest discover,Test
python -m pip,Build
upgrade pip setuptools,Build
coverage run source,CodeAnalysis
update yes conda,Build
pip install coverage,Build
pip install tox,Build
python -m unittest,Test
docker build -t,Deploy
pip install -q,Build
source activate testenv,Test
conda install yes,Build
then pip install,Build
pip install numpy,Build
conda install -c,Build
pip install tensorflow,Build
pip install tox-travis,Build
flake8 count select,CodeAnalysis
pip setuptools wheel,Build
nosetests with-coverage cover-package,CodeAnalysis
pip install cython,Build
pip install scipy,Build
install upgrade pytest,Build
flake8 count exit-zero,CodeAnalysis
coverage run URL,CodeAnalysis
pip install nose,Test
install -q -r,Build
pip install torch,Build
numpy scipy nose,Test
testenv python travis_python_version,Test
install -e tests,Build
3.5 coverage true,CodeAnalysis
python_version 3.5 coverage,CodeAnalysis
install python version,Build
choco install python,Build
pytest -v cov,Test
install -r requirements.txt,Build
install -u tox-travis,Build
pip3 install upgrade,Build
pip install only-binary,Build
install upgrade -r,Build
pip install matplotlib,Build
pip install progress-bar,Build
install upgrade setuptools,Build
-r FILE_PATH_TXT upgrade,Build
else wget URL,Build
then wget URL,Build
pip install quiet,Build
pip install pipenv,Build
pip install poetry,Build
upgrade -r FILE_PATH_TXT,Build
pip install python-coveralls,Build
-m pytest URL,Test
pytest -m not,Test
install pytorch torchvision,Build
conda install pytorch,Build
-q -n testenv,Test
pip install scikit-learn,Build
install numpy scipy,Build
pytest URL URL,Test
